May 23 23:53 : exception: Failed to access /home/vanel/Music: No such file or directory
May 24 00:22 : update: added /Blondie - Heart Of Glass.mp3
May 24 00:49 : player: played "Blondie - Heart Of Glass.mp3"
May 24 00:50 : player: played "Blondie - Heart Of Glass.mp3"
May 24 01:58 : player: played "Blondie - Heart Of Glass.mp3"
May 24 02:20 : player: played "Blondie - Heart Of Glass.mp3"
May 24 02:21 : player: played "Blondie - Heart Of Glass.mp3"
May 24 10:11 : player: played "Blondie - Heart Of Glass.mp3"
May 24 10:55 : player: played "Blondie - Heart Of Glass.mp3"
May 24 11:44 : player: played "Blondie - Heart Of Glass.mp3"
May 24 14:23 : player: played "Blondie - Heart Of Glass.mp3"
May 24 15:10 : player: played "Blondie - Heart Of Glass.mp3"
May 24 17:51 : player: played "Blondie - Heart Of Glass.mp3"
May 24 19:34 : player: played "Blondie - Heart Of Glass.mp3"
May 24 19:35 : player: played "Blondie - Heart Of Glass.mp3"
May 24 20:14 : player: played "Blondie - Heart Of Glass.mp3"
May 24 20:27 : player: played "Blondie - Heart Of Glass.mp3"
May 24 21:11 : player: played "Blondie - Heart Of Glass.mp3"
May 24 21:36 : player: played "Blondie - Heart Of Glass.mp3"
May 24 22:32 : player: played "Blondie - Heart Of Glass.mp3"
May 25 01:39 : player: played "Blondie - Heart Of Glass.mp3"
May 25 01:46 : player: played "Blondie - Heart Of Glass.mp3"
May 25 01:59 : player: played "Blondie - Heart Of Glass.mp3"
May 25 02:41 : player: played "Blondie - Heart Of Glass.mp3"
May 25 03:07 : player: played "Blondie - Heart Of Glass.mp3"
May 25 03:31 : player: played "Blondie - Heart Of Glass.mp3"
